params_id,minRecentCount,diffThresholdDays,maxRecentStd,alpha,frequencyDiffThreshold,frequencyRecentWindowDays,change_type_accuracy,interval_change_precision,interval_change_recall,interval_change_f1,frequency_change_precision,frequency_change_recall,frequency_change_f1,overall_change_precision,overall_change_recall,overall_change_f1,cycle_mae,daily_frequency_mae,score
params_6389,5,0.5,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_6393,5,0.5,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_6785,5,0.75,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_6789,5,0.75,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_6793,5,0.75,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_7185,5,1.0,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_7189,5,1.0,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_7193,5,1.0,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_0370,2,0.5,2.0,0.7,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0371,2,0.5,2.0,0.7,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0372,2,0.5,2.0,0.7,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0374,2,0.5,2.0,0.7,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0375,2,0.5,2.0,0.7,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0376,2,0.5,2.0,0.7,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0378,2,0.5,2.0,0.7,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0379,2,0.5,2.0,0.7,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0380,2,0.5,2.0,0.7,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0770,2,0.75,2.0,0.7,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0771,2,0.75,2.0,0.7,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0772,2,0.75,2.0,0.7,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0774,2,0.75,2.0,0.7,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0775,2,0.75,2.0,0.7,0.5,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0776,2,0.75,2.0,0.7,0.5,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0778,2,0.75,2.0,0.7,0.7,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0779,2,0.75,2.0,0.7,0.7,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_0780,2,0.75,2.0,0.7,0.7,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_1170,2,1.0,2.0,0.7,0.3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_1171,2,1.0,2.0,0.7,0.3,21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
params_1172,2,1.0,2.0,0.7,0.3,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.09,0.960565
